"RESULTID","RACEID","DRIVERID","GRID","POSITIONTEXT","POINTS","LAPS","TIME","FASTESTLAP","FASTESTLAPSPEED"
6640,309,78,0,"F",0,0,"",,
6641,309,128,0,"F",0,0,"",,
6642,309,142,0,"F",0,0,"",,
6643,310,119,1,"1",10,67,"29:52.2",,
6644,310,95,2,"2",6,67,"1.336",,
6645,310,102,3,"3",4,67,"57.356",,
6646,310,110,11,"4",3,66,"",,
6647,310,90,9,"5",2,66,"",,
6648,310,103,23,"6",1,66,"",,
6649,310,81,14,"7",0,66,"",,
6650,310,123,10,"8",0,65,"",,
6651,310,57,24,"9",0,65,"",,
6652,310,65,25,"10",0,65,"",,
6653,310,131,8,"11",0,65,"",,
6654,310,138,13,"12",0,64,"",,
6655,310,87,12,"R",0,54,"",,
6656,310,92,20,"R",0,51,"",,
6657,310,88,19,"R",0,48,"",,
6658,310,137,6,"R",0,44,"",,
6659,310,55,4,"R",0,42,"",,
6660,310,109,16,"R",0,30,"",,
6661,310,105,26,"R",0,24,"",,
6662,310,84,17,"R",0,20,"",,
6663,310,122,22,"R",0,19,"",,
6664,310,117,7,"R",0,16,"",,
6665,310,127,18,"R",0,15,"",,
6666,310,129,21,"R",0,13,"",,
6667,310,77,5,"R",0,5,"",,
6668,310,94,15,"R",0,4,"",,
6669,310,100,0,"F",0,0,"",,
6670,310,99,0,"F",0,0,"",,
6671,310,140,0,"F",0,0,"",,
6672,310,120,0,"F",0,0,"",,
6673,310,78,0,"F",0,0,"",,
6674,310,128,0,"F",0,0,"",,
6675,310,142,0,"F",0,0,"",,
6676,310,139,0,"F",0,0,"",,
6677,311,95,4,"1",10,72,"38:00.1",,
6678,311,117,2,"2",6,72,"5.003",,
6679,311,102,3,"3",4,72,"34.934",,
6680,311,55,6,"4",3,72,"35.92",,
6681,311,119,1,"5",2,71,"",,
6682,311,110,13,"6",1,71,"",,
6683,311,127,9,"7",0,70,"",,
6684,311,137,7,"8",0,70,"",,
6685,311,94,12,"9",0,70,"",,
6686,311,65,20,"10",0,70,"",,
6687,311,100,14,"11",0,70,"",,
6688,311,123,16,"12",0,69,"",,
6689,311,90,8,"R",0,63,"",,
6690,311,131,11,"R",0,57,"",,
6691,311,129,21,"R",0,47,"",,
6692,311,103,23,"R",0,43,"",,
6693,311,109,26,"R",0,39,"",,
6694,311,87,17,"R",0,36,"",,
6695,311,88,22,"R",0,32,"",,
6696,311,105,25,"R",0,31,"",,
6697,311,84,24,"R",0,21,"",,
6698,311,138,18,"R",0,12,"",,
6699,311,81,10,"R",0,8,"",,
6700,311,122,15,"R",0,7,"",,
6701,311,77,5,"R",0,6,"",,
6702,311,92,19,"R",0,0,"",,
6703,311,57,0,"F",0,0,"",,
6704,311,120,0,"F",0,0,"",,
6705,311,99,0,"F",0,0,"",,
6706,311,140,0,"F",0,0,"",,
6707,311,139,0,"F",0,0,"",,
6708,311,78,0,"F",0,0,"",,
6709,311,128,0,"F",0,0,"",,
6710,311,142,0,"F",0,0,"",,
6711,312,95,1,"1",10,59,"27:35.5",,
6712,312,77,4,"2",6,59,"42.293",,
6713,312,117,5,"3",4,59,"+1:00.150",,
6714,312,102,2,"4",3,58,"",,
6715,312,137,8,"5",2,58,"",,
6716,312,92,17,"6",1,58,"",,
5663,276,84,10,"3",4,60,"",,
5664,276,109,16,"4",3,59,"",,
5665,276,112,14,"5",2,59,"",,
5666,276,120,25,"6",1,59,"",,
5667,276,69,24,"7",0,58,"",,
5668,276,65,12,"8",0,57,"",,
5669,276,88,21,"9",0,54,"",,
5670,276,70,20,"R",0,53,"",,
5671,276,91,5,"R",0,48,"",,
5672,276,102,4,"R",0,42,"",,
5673,276,55,9,"R",0,40,"",,
5674,276,104,23,"R",0,36,"",,
5675,276,121,6,"R",0,32,"",,
5676,276,118,15,"R",0,29,"",,
5677,276,79,22,"R",0,22,"",,
5678,276,71,2,"R",0,20,"",,
5679,276,100,17,"R",0,18,"",,
5680,276,110,18,"R",0,18,"",,
5681,276,22,13,"R",0,17,"",,
5682,276,77,8,"R",0,8,"",,
5683,276,123,19,"R",0,1,"",,
5684,276,87,7,"R",0,0,"",,
5685,276,119,11,"R",0,0,"",,
5686,276,105,0,"F",0,0,"",,
5687,277,117,1,"1",10,65,"32:27.7",,
5688,277,102,3,"2",6,65,"16.873",,
5689,277,30,4,"3",4,65,"27.125",,
5690,277,119,5,"4",3,64,"",,
5691,277,121,7,"5",2,64,"",,
5692,277,77,11,"6",1,63,"",,
5693,277,87,12,"7",0,63,"",,
5694,277,104,20,"8",0,63,"",,
5695,277,100,14,"9",0,63,"",,
5696,277,88,19,"10",0,63,"",,
5697,277,123,21,"11",0,62,"",,
5698,277,22,17,"12",0,62,"",,
5699,277,118,16,"13",0,62,"",,
5700,277,70,15,"14",0,60,"",,
5701,277,109,9,"R",0,53,"",,
5702,277,69,22,"R",0,43,"",,
5703,277,91,6,"R",0,42,"",,
5704,277,110,24,"D",0,42,"",,
5705,277,71,2,"R",0,41,"",,
5706,277,55,8,"R",0,40,"",,
5707,277,120,25,"R",0,37,"",,
5708,277,112,13,"R",0,26,"",,
5709,277,84,18,"R",0,11,"",,
5710,277,79,23,"R",0,11,"",,
5711,277,65,10,"R",0,2,"",,
5712,277,105,0,"F",0,0,"",,
5713,278,102,3,"1",10,78,"52:10.9",,
5714,278,71,4,"2",6,78,"52.118",,
5715,278,55,5,"3",4,78,"+1:03.362",,
5716,278,117,1,"4",3,77,"",,
5717,278,104,17,"5",2,76,"",,
5718,278,84,13,"6",1,76,"",,
5719,278,70,20,"7",0,76,"",,
5720,278,121,9,"8",0,76,"",,
5721,278,22,16,"9",0,76,"",,
5722,278,110,19,"10",0,76,"",,
5723,278,120,25,"11",0,75,"",,
5724,278,112,15,"12",0,75,"",,
5725,278,91,8,"13",0,74,"",,
5726,278,77,7,"14",0,70,"",,
5727,278,65,14,"R",0,61,"",,
5728,278,119,6,"R",0,53,"",,
5729,278,100,10,"R",0,51,"",,
5730,278,88,18,"R",0,46,"",,
5731,278,118,12,"R",0,43,"",,
5732,278,30,2,"R",0,32,"",,
5733,278,79,22,"R",0,31,"",,
5734,278,105,24,"R",0,28,"",,
5735,278,109,11,"R",0,23,"",,
5736,278,123,23,"R",0,12,"",,
5737,278,87,21,"R",0,3,"",,
5738,278,69,0,"F",0,0,"",,
5739,279,117,1,"1",10,69,"36:41.8",,
5740,279,30,3,"2",6,69,"14.527",,
5741,279,71,2,"3",4,69,"52.685",,
5742,279,77,5,"4",3,68,"",,
5743,279,84,7,"5",2,68,"",,
5744,279,91,9,"6",1,68,"",,
5745,279,109,11,"7",0,68,"",,
5746,279,100,13,"8",0,68,"",,
5747,279,104,17,"9",0,67,"",,
5748,279,65,20,"10",0,67,"",,
5749,279,70,21,"11",0,67,"",,
5750,279,123,24,"12",0,67,"",,
5751,279,88,16,"13",0,66,"",,
5752,279,121,12,"14",0,66,"",,
5753,279,69,25,"15",0,65,"",,
5754,279,118,18,"16",0,65,"",,
5755,279,79,22,"17",0,64,"",,
5756,279,102,8,"18",0,62,"",,
5757,279,119,4,"R",0,52,"",,
5758,279,110,19,"R",0,45,"",,
5759,279,120,23,"R",0,33,"",,
5760,279,55,6,"R",0,33,"",,
5761,279,87,10,"R",0,13,"",,
5762,279,22,14,"R",0,10,"",,
5763,279,112,15,"R",0,8,"",,
5764,279,105,0,"F",0,0,"",,
5765,280,117,2,"1",10,72,"38:35.2",,
5766,280,71,1,"2",6,72,"0.342",,
5767,280,30,7,"3",4,72,"21.209",,
5768,280,102,5,"4",3,72,"32.405",,
5769,280,84,3,"5",2,72,"33.795",,
5770,280,121,16,"6",1,71,"",,
5771,280,22,8,"7",0,71,"",,
5772,280,104,23,"8",0,71,"",,
5773,280,112,10,"9",0,70,"",,
5774,280,119,12,"10",0,70,"",,
5775,280,123,20,"11",0,70,"",,
5776,280,88,13,"12",0,70,"",,
5777,280,118,15,"13",0,70,"",,
5778,280,77,14,"14",0,70,"",,
5779,280,110,25,"15",0,68,"",,
5780,280,100,9,"16",0,66,"",,
5781,280,55,6,"R",0,47,"",,
5782,280,69,22,"R",0,28,"",,
5783,280,91,11,"R",0,25,"",,
5784,280,109,18,"R",0,22,"",,
5785,280,87,4,"R",0,20,"",,
5786,280,65,19,"R",0,16,"",,
5787,280,120,24,"R",0,16,"",,
5788,280,79,24,"R",0,16,"",,
5789,280,70,17,"R",0,9,"",,
5790,280,105,0,"F",0,0,"",,
5791,281,117,1,"1",10,59,"25:38.2",,
5792,281,30,3,"2",6,59,"7.66",,
5793,281,119,5,"3",4,59,"+1:17.482",,
5794,281,65,7,"4",3,59,"+1:18.407",,
5795,281,102,4,"5",2,58,"",,
5796,281,118,8,"6",1,58,"",,
5797,281,87,9,"7",0,58,"",,
5798,281,109,16,"8",0,58,"",,
5799,281,55,12,"9",0,58,"",,
5800,281,22,15,"10",0,58,"",,
5801,281,112,24,"11",0,57,"",,
5802,281,104,19,"12",0,56,"",,
5803,281,79,22,"13",0,55,"",,
5804,281,84,6,"14",0,53,"",,
5805,281,110,21,"N",0,43,"",,
5806,281,71,2,"R",0,41,"",,
5807,281,70,14,"R",0,41,"",,
5808,281,123,23,"R",0,41,"",,
5809,281,69,25,"R",0,32,"",,
5810,281,94,20,"R",0,31,"",,
5811,281,91,18,"R",0,24,"",,
5812,281,77,13,"R",0,10,"",,
5813,281,88,10,"R",0,8,"",,
5814,281,121,11,"R",0,0,"",,
5815,281,100,17,"R",0,0,"",,
5816,281,105,0,"F",0,0,"",,
5817,282,117,1,"1",10,45,"18:40.9",,
5818,282,30,3,"2",6,45,"16.664",,
5819,282,87,5,"3",4,45,"59.349",,
5820,282,102,4,"4",3,45,"+1:08.229",,
5821,282,119,7,"5",2,45,"+1:31.516",,
5822,282,77,9,"6",1,45,"+1:34.754",,
5823,282,55,10,"7",0,45,"+1:35.841",,
5824,282,84,6,"8",0,44,"",,
5825,282,91,14,"9",0,44,"",,
5826,282,65,13,"10",0,44,"",,
5827,282,104,20,"11",0,44,"",,
5828,282,112,23,"12",0,44,"",,
5829,282,123,24,"13",0,44,"",,
5830,282,94,22,"14",0,44,"",,
5831,282,71,2,"15",0,43,"",,
5832,282,105,26,"16",0,43,"",,
5833,282,118,11,"17",0,42,"",,
5834,282,22,17,"R",0,34,"",,
5835,282,79,21,"R",0,28,"",,
5836,282,109,18,"R",0,22,"",,
5837,282,70,15,"R",0,19,"",,
5838,282,88,8,"R",0,9,"",,
5839,282,121,12,"R",0,4,"",,
5840,282,69,25,"R",0,4,"",,
5841,282,110,19,"R",0,1,"",,
5842,282,100,16,"R",0,0,"",,
5843,283,71,2,"1",10,77,"47:39.1",,
5844,283,119,5,"2",6,77,"+1:11.915",,
5845,283,77,6,"3",4,77,"+1:18.042",,
5846,283,118,9,"4",3,76,"",,
5847,283,84,13,"5",2,76,"",,
5848,283,91,17,"6",1,76,"",,
5849,283,87,12,"7",0,76,"",,
5850,283,112,19,"8",0,75,"",,
5851,283,123,24,"9",0,75,"",,
5852,283,79,23,"10",0,73,"",,
5853,283,110,22,"11",0,72,"",,
5854,283,117,1,"12",0,70,"",,
5855,283,94,7,"R",0,59,"",,
5856,283,100,18,"R",0,54,"",,
5857,283,70,21,"R",0,45,"",,
5858,283,88,10,"R",0,41,"",,
5859,283,105,25,"R",0,39,"",,
5860,283,65,20,"R",0,38,"",,
5861,283,69,26,"R",0,37,"",,
5862,283,30,3,"R",0,26,"",,
5863,283,104,14,"R",0,22,"",,
5864,283,55,8,"R",0,22,"",,
5865,283,109,15,"R",0,18,"",,
5866,283,102,4,"R",0,17,"",,
5867,283,121,11,"R",0,15,"",,
5868,283,22,16,"R",0,0,"",,
5869,284,71,2,"1",10,44,"24:32.1",,
5870,284,30,3,"2",6,44,"3.668",,
5871,284,117,1,"3",4,44,"14.988",,
5872,284,102,5,"4",3,44,"+1:39.763",,
5873,284,65,10,"5",2,43,"",,
5874,284,119,8,"6",1,43,"",,
5875,284,84,11,"7",0,43,"",,
5876,284,121,14,"8",0,43,"",,
5877,284,109,9,"9",0,43,"",,
5878,284,77,16,"10",0,42,"",,
5879,284,87,15,"11",0,42,"",,
5880,284,112,18,"12",0,42,"",,
5881,284,69,24,"13",0,42,"",,
5882,284,105,25,"14",0,41,"",,
5883,284,79,23,"15",0,40,"",,
5884,284,100,19,"R",0,37,"",,
5885,284,118,7,"R",0,28,"",,
5886,284,91,12,"R",0,27,"",,
5887,284,110,17,"R",0,24,"",,
5888,284,104,22,"R",0,15,"",,
5889,284,94,21,"R",0,15,"",,
5890,284,88,6,"R",0,14,"",,
5891,284,22,12,"R",0,11,"",,
5892,284,55,4,"R",0,4,"",,
5893,284,123,20,"R",0,0,"",,
5894,284,70,26,"W",0,0,"",,
5895,285,71,2,"1",10,53,"17:07.5",,
5896,285,55,3,"2",6,53,"40.012",,
5897,285,121,9,"3",4,52,"",,
5898,285,91,15,"4",3,52,"",,
5899,285,119,10,"5",2,52,"",,
5900,285,100,20,"6",1,52,"",,
5901,285,94,22,"7",0,51,"",,
5902,285,104,24,"8",0,51,"",,
5903,285,112,16,"9",0,51,"",,
5904,285,69,25,"10",0,51,"",,
5905,285,83,26,"11",0,49,"",,
5906,285,117,1,"12",0,48,"",,
5907,285,110,18,"13",0,47,"",,
5908,285,79,17,"14",0,47,"",,
5909,285,105,21,"R",0,23,"",,
5910,285,30,5,"R",0,21,"",,
5911,285,87,14,"R",0,20,"",,
5912,285,77,6,"R",0,15,"",,
5913,285,65,7,"R",0,14,"",,
5914,285,84,12,"R",0,8,"",,
5915,285,102,4,"R",0,8,"",,
5916,285,88,8,"R",0,0,"",,
5917,285,118,11,"R",0,0,"",,
5918,285,109,13,"R",0,0,"",,
5919,285,22,19,"R",0,0,"",,
5920,285,124,23,"R",0,0,"",,
5921,286,30,6,"1",10,71,"32:46.3",,
5922,286,117,2,"2",6,71,"0.982",,
5923,286,71,1,"3",4,71,"8.206",,
5924,286,55,5,"4",3,71,"+1:07.605",,
5925,286,91,13,"5",2,70,"",,
5926,286,84,11,"6",1,70,"",,
5927,286,109,12,"7",0,69,"",,
5928,286,94,19,"8",0,69,"",,
5929,286,104,24,"9",0,69,"",,
5930,286,112,20,"10",0,69,"",,
5931,286,100,22,"11",0,68,"",,
5932,286,110,17,"12",0,68,"",,
5933,286,22,15,"13",0,68,"",,
5934,286,69,26,"14",0,68,"",,
5935,286,118,9,"15",0,63,"",,
5936,286,119,7,"16",0,63,"",,
5937,286,83,18,"R",0,61,"",,
5938,286,65,14,"R",0,60,"",,
5939,286,87,10,"R",0,51,"",,
5940,286,105,25,"R",0,38,"",,
5941,286,77,8,"R",0,35,"",,
5942,286,57,3,"R",0,32,"",,
5943,286,88,16,"R",0,27,"",,
5944,286,102,4,"R",0,19,"",,
5945,286,79,21,"R",0,12,"",,
5946,286,125,23,"R",0,8,"",,
5947,287,102,2,"1",10,53,"40:27.9",,
5948,287,117,1,"2",6,53,"11.435",,
5949,287,57,3,"3",4,53,"26.129",,
5950,287,71,6,"4",3,53,"+1:23.538",,
5951,287,22,12,"5",2,53,"+1:35.101",,
5952,287,56,8,"6",1,53,"+1:46.421",,
5953,287,87,17,"7",0,52,"",,
5954,287,109,11,"8",0,52,"",,
5955,287,84,15,"9",0,51,"",,
5956,287,94,22,"10",0,51,"",,
5957,287,65,19,"11",0,51,"",,
5958,287,126,23,"12",0,51,"",,
5959,287,83,20,"13",0,49,"",,
5960,287,118,7,"14",0,48,"",,
5961,287,119,10,"R",0,45,"",,
5962,287,77,5,"R",0,40,"",,
5963,287,88,9,"R",0,28,"",,
5964,287,111,13,"R",0,26,"",,
5965,287,79,24,"R",0,26,"",,
5966,287,91,16,"R",0,25,"",,
5967,287,100,21,"R",0,17,"",,
5968,287,30,4,"R",0,10,"",,
5969,287,55,14,"R",0,7,"",,
5970,287,110,18,"R",0,0,"",,
5971,288,102,1,"1",10,79,"43:27.5",,
5972,288,117,2,"2",6,79,"9.259",,
5973,288,71,3,"3",4,79,"33.902",,
5974,288,55,7,"4",3,78,"",,
5975,288,77,6,"5",2,78,"",,
5976,288,84,8,"6",1,78,"",,
5977,288,88,10,"7",0,78,"",,
5978,288,119,9,"8",0,77,"",,
5979,288,87,14,"9",0,77,"",,
5980,288,118,17,"10",0,77,"",,
5981,288,22,13,"11",0,76,"",,
5982,288,100,21,"12",0,76,"",,
5983,288,110,15,"13",0,75,"",,
5984,288,126,24,"14",0,74,"",,
5985,288,91,11,"15",0,73,"",,
5986,288,109,12,"R",0,56,"",,
5987,288,111,22,"R",0,34,"",,
5988,288,57,5,"R",0,28,"",,
5989,288,30,4,"R",0,19,"",,
5990,288,79,18,"R",0,11,"",,
5991,288,56,19,"R",0,10,"",,
5992,288,65,20,"R",0,9,"",,
5993,288,94,16,"R",0,5,"",,
5994,288,83,23,"R",0,0,"",,
5995,289,95,1,"1",10,72,"36:45.3",,
5996,289,119,4,"2",6,72,"24.36",,
5997,289,102,2,"3",4,72,"34.675",,
5998,289,30,6,"4",3,72,"47.863",,
5999,289,77,3,"5",2,72,"+1:13.634",,
6000,289,65,11,"6",1,71,"",,
6001,289,100,13,"7",0,71,"",,
6002,289,88,16,"8",0,70,"",,
6003,289,57,21,"9",0,70,"",,
6004,289,105,17,"10",0,70,"",,
6005,289,127,23,"11",0,70,"",,
6006,289,79,18,"12",0,68,"",,
6007,289,128,26,"13",0,68,"",,
6008,289,129,12,"R",0,62,"",,
6009,289,123,14,"R",0,60,"",,
6010,289,94,25,"R",0,56,"",,
6011,289,81,19,"R",0,55,"",,
6012,289,109,24,"R",0,44,"",,
6013,289,104,20,"R",0,43,"",,
6014,289,110,10,"R",0,41,"",,
6015,289,55,5,"R",0,40,"",,
6016,289,122,9,"R",0,28,"",,
6017,289,99,15,"R",0,23,"",,
6018,289,91,7,"R",0,13,"",,
6019,289,92,22,"R",0,8,"",,
6020,289,84,8,"R",0,1,"",,
6021,289,108,0,"F",0,0,"",,
6022,289,130,0,"F",0,0,"",,
6023,289,131,0,"F",0,0,"",,
6024,289,132,0,"F",0,0,"",,
6025,290,95,1,"1",10,69,"31:53.6",,
6026,290,119,2,"2",6,69,"12.971",,
6027,290,30,3,"3",4,69,"21.429",,
6028,290,77,5,"4",3,69,"33.347",,
6029,290,110,11,"5",2,68,"",,
6030,290,57,18,"6",1,68,"",,
6031,290,65,12,"7",0,68,"",,
6032,290,109,7,"8",0,68,"",,
6033,290,100,26,"9",0,67,"",,
6034,290,123,22,"10",0,67,"",,
6035,290,92,13,"11",0,66,"",,
6036,290,79,24,"12",0,66,"",,
6037,290,105,25,"13",0,65,"",,
6038,290,84,4,"R",0,47,"",,
6039,290,99,14,"R",0,45,"",,
6040,290,130,23,"R",0,37,"",,
6041,290,94,9,"R",0,36,"",,
6042,290,55,10,"R",0,31,"",,
6043,290,81,21,"R",0,29,"",,
6044,290,131,15,"R",0,17,"",,
6045,290,129,16,"R",0,12,"",,
6046,290,102,6,"R",0,11,"",,
6047,290,104,17,"R",0,2,"",,
6048,290,127,8,"R",0,0,"",,
6049,290,91,19,"R",0,0,"",,
6050,290,122,20,"R",0,0,"",,
6051,290,88,0,"F",0,0,"",,
6052,290,108,0,"F",0,0,"",,
6053,290,128,0,"F",0,0,"",,
6054,290,132,0,"F",0,0,"",,
6055,291,95,1,"1",10,71,"36:51.9",,
6056,291,119,2,"2",6,71,"29.33",,
6057,291,30,5,"3",4,70,"",,
6058,291,55,6,"4",3,70,"",,
6059,291,122,11,"5",2,70,"",,
6060,291,105,14,"6",1,70,"",,
6061,291,81,23,"7",0,69,"",,
6062,291,109,16,"8",0,69,"",,
6063,291,79,25,"9",0,68,"",,
6064,291,57,24,"10",0,67,"",,
6065,291,99,19,"R",0,62,"",,
6066,291,91,9,"R",0,55,"",,
6067,291,104,20,"R",0,54,"",,
6068,291,129,17,"R",0,52,"",,
6069,291,100,15,"R",0,42,"",,
6070,291,65,26,"R",0,36,"",,
6071,291,123,10,"R",0,36,"",,
6072,291,127,21,"R",0,36,"",,
6073,291,84,7,"R",0,30,"",,
6074,291,94,8,"R",0,24,"",,
6075,291,92,18,"R",0,23,"",,
6076,291,110,13,"R",0,21,"",,
6077,291,102,3,"R",0,17,"",,
6078,291,77,4,"R",0,4,"",,
6079,291,88,22,"R",0,2,"",,
6080,291,131,12,"R",0,1,"",,
6081,291,130,0,"F",0,0,"",,
6082,291,108,0,"F",0,0,"",,
6083,291,128,0,"F",0,0,"",,
6084,291,132,0,"F",0,0,"",,
6085,292,95,1,"1",10,65,"56:10.7",,
6086,292,30,2,"2",6,65,"23.914",,
6087,292,55,8,"3",4,65,"26.462",,
6088,292,77,7,"4",3,65,"+1:20.647",,
6089,292,105,16,"5",2,64,"",,
6090,292,94,13,"6",1,63,"",,
6091,292,88,19,"7",0,63,"",,
6092,292,91,9,"8",0,63,"",,
6093,292,102,3,"9",0,62,"",,
6094,292,122,5,"10",0,62,"",,
6095,292,104,22,"11",0,61,"",,
6096,292,108,23,"12",0,61,"",,
6097,292,109,12,"R",0,56,"",,
6098,292,99,18,"R",0,56,"",,
6099,292,57,21,"R",0,56,"",,
6100,292,100,10,"R",0,55,"",,
6101,292,92,24,"R",0,35,"",,
6102,292,129,15,"R",0,30,"",,
6103,292,81,25,"R",0,26,"",,
6104,292,127,17,"R",0,24,"",,
6105,292,130,20,"R",0,22,"",,
6106,292,119,4,"R",0,19,"",,
6107,292,65,26,"R",0,13,"",,
6108,292,123,14,"R",0,11,"",,
6109,292,84,6,"R",0,4,"",,
6110,292,110,11,"R",0,2,"",,
6111,292,79,0,"F",0,0,"",,
6112,292,128,0,"F",0,0,"",,
6113,292,131,0,"F",0,0,"",,
6114,292,71,0,"F",0,0,"",,
6115,292,90,0,"F",0,0,"",,
6116,292,135,0,"F",0,0,"",,
6117,293,95,1,"1",10,60,"28:40.9",,
6118,293,119,2,"2",6,60,"9.451",,
6119,293,102,3,"3",4,60,"48.984",,
6120,293,84,6,"4",3,60,"53.007",,
6121,293,105,9,"5",2,59,"",,
6122,293,94,15,"6",1,59,"",,
6123,293,127,16,"7",0,58,"",,
6124,293,129,20,"8",0,58,"",,
6125,293,100,13,"9",0,58,"",,
6126,293,88,11,"10",0,58,"",,
6127,293,109,16,"11",0,57,"",,
6128,293,91,12,"12",0,57,"",,
6129,293,108,24,"13",0,57,"",,
6130,293,110,14,"14",0,55,"",,
6131,293,79,17,"R",0,40,"",,
6132,293,55,7,"R",0,39,"",,
6133,293,77,4,"R",0,39,"",,
6134,293,92,19,"R",0,32,"",,
6135,293,123,10,"R",0,29,"",,
6136,293,131,23,"R",0,25,"",,
6137,293,81,21,"R",0,24,"",,
6138,293,99,22,"R",0,24,"",,
6139,293,30,5,"R",0,20,"",,
6140,293,122,8,"R",0,11,"",,
6141,293,104,25,"R",0,8,"",,
6142,293,65,26,"R",0,8,"",,
6143,293,57,0,"F",0,0,"",,
6144,293,130,0,"F",0,0,"",,
6145,293,71,0,"F",0,0,"",,
6146,293,128,0,"F",0,0,"",,
6147,293,90,0,"F",0,0,"",,
6148,293,135,0,"F",0,0,"",,
6149,294,102,3,"1",10,78,"50:59.4",,
6150,294,95,1,"2",6,78,"0.215",,
6151,294,119,2,"3",4,78,"31.843",,
6152,294,30,6,"4",3,78,"39.294",,
6153,294,84,7,"5",2,78,"+1:21.347",,
6154,294,92,15,"6",1,77,"",,
6155,294,105,11,"7",0,77,"",,
6156,294,104,17,"8",0,77,"",,
6157,294,109,20,"9",0,76,"",,
6158,294,100,23,"10",0,76,"",,
6159,294,88,19,"11",0,76,"",,
6160,294,123,22,"12",0,75,"",,
6161,294,122,8,"R",0,60,"",,
6162,294,77,5,"R",0,32,"",,
6163,294,57,14,"R",0,30,"",,
6164,294,55,4,"R",0,28,"",,
6165,294,127,13,"R",0,18,"",,
6166,294,65,9,"R",0,17,"",,
6167,294,90,26,"R",0,11,"",,
6168,294,110,10,"R",0,9,"",,
6169,294,99,25,"R",0,9,"",,
6170,294,131,21,"R",0,6,"",,
6171,294,129,24,"R",0,4,"",,
6172,294,91,16,"R",0,1,"",,
6173,294,81,12,"R",0,1,"",,
6174,294,94,18,"R",0,0,"",,
6175,294,128,0,"F",0,0,"",,
6176,294,71,0,"F",0,0,"",,
6177,294,130,0,"F",0,0,"",,
6178,294,108,0,"F",0,0,"",,
6179,294,79,0,"F",0,0,"",,
6180,294,135,0,"F",0,0,"",,
6181,295,77,4,"1",10,69,"37:08.3",,
6182,295,30,5,"2",6,69,"12.401",,
6183,295,55,8,"3",4,69,"+1:07.327",,
6184,295,91,12,"4",3,68,"",,
6185,295,110,14,"5",2,68,"",,
6186,295,100,22,"6",1,68,"",,
6187,295,105,16,"7",0,68,"",,
6188,295,94,15,"8",0,68,"",,
6189,295,109,23,"9",0,68,"",,
6190,295,123,21,"10",0,67,"",,
6191,295,81,13,"11",0,67,"",,
6192,295,129,26,"12",0,67,"",,
6193,295,104,25,"13",0,65,"",,
6194,295,108,20,"14",0,64,"",,
6195,295,79,11,"R",0,61,"",,
6196,295,84,7,"R",0,45,"",,
6197,295,119,2,"R",0,43,"",,
6198,295,102,1,"R",0,37,"",,
6199,295,131,17,"R",0,36,"",,
6200,295,57,10,"R",0,35,"",,
6201,295,65,6,"R",0,34,"",,
6202,295,122,9,"R",0,18,"",,
6203,295,95,3,"R",0,14,"",,
6204,295,127,24,"R",0,14,"",,
6205,295,92,19,"D",0,14,"",,
6206,295,99,18,"R",0,0,"",,
6207,295,88,0,"F",0,0,"",,
6208,295,128,0,"F",0,0,"",,
6209,295,130,0,"F",0,0,"",,
6210,295,71,0,"F",0,0,"",,
6211,295,90,0,"F",0,0,"",,
6212,296,95,1,"1",10,69,"38:08.5",,
6213,296,119,2,"2",6,69,"46.447",,
6214,296,84,7,"3",4,69,"+1:12.579",,
6215,296,57,11,"4",3,68,"",,
6216,296,100,10,"5",2,68,"",,
6217,296,65,12,"6",1,68,"",,
6218,296,105,14,"7",0,68,"",,
6219,296,81,16,"8",0,68,"",,
6220,296,109,17,"9",0,67,"",,
6221,296,94,25,"10",0,67,"",,
6222,296,129,22,"11",0,66,"",,
6223,296,55,6,"R",0,61,"",,
6224,296,110,19,"R",0,51,"",,
6225,296,79,18,"R",0,41,"",,
6226,296,123,9,"R",0,46,"",,
6227,296,122,8,"R",0,38,"",,
6228,296,91,21,"R",0,33,"",,
6229,296,131,20,"R",0,25,"",,
6230,296,88,15,"R",0,20,"",,
6231,296,30,5,"R",0,17,"",,
6232,296,77,4,"R",0,10,"",,
6233,296,99,23,"R",0,6,"",,
6234,296,102,3,"R",0,0,"",,
6235,296,92,13,"R",0,0,"",,
6236,296,127,24,"R",0,0,"",,
6237,296,130,26,"R",0,0,"",,
6238,296,108,0,"F",0,0,"",,
6239,296,104,0,"F",0,0,"",,
6240,296,128,0,"F",0,0,"",,
6241,296,71,0,"F",0,0,"",,
6242,297,95,1,"1",10,59,"25:43.0",,
6243,297,119,2,"2",6,59,"39.094",,
6244,297,84,6,"3",4,59,"48.395",,
6245,297,30,4,"4",3,59,"53.267",,
6246,297,77,5,"5",2,59,"55.795",,
6247,297,57,9,"6",1,59,"+1:20.138",,
6248,297,105,12,"7",0,58,"",,
6249,297,100,10,"8",0,58,"",,
6250,297,122,14,"9",0,58,"",,
6251,297,123,13,"10",0,57,"",,
6252,297,129,20,"11",0,57,"",,
6253,297,88,17,"12",0,57,"",,
6254,297,109,19,"13",0,57,"",,
6255,297,99,15,"14",0,57,"",,
6256,297,94,22,"15",0,56,"",,
6257,297,71,26,"16",0,55,"",,
6258,297,81,25,"17",0,53,"",,
6259,297,102,3,"R",0,52,"",,
6260,297,110,18,"R",0,46,"",,
6261,297,55,8,"R",0,43,"",,
6262,297,131,23,"R",0,43,"",,
