"RESULTID","RACEID","DRIVERID","GRID","POSITIONTEXT","POINTS","LAPS","TIME","FASTESTLAP","FASTESTLAPSPEED"
19,18,19,21,"R",0,0,"",,
20,18,20,9,"R",0,0,"",,
21,18,21,16,"R",0,0,"",,
22,18,22,10,"D",0,58,"",44,215.141
23,19,8,2,"1",10,56,"31:18.6",37,209.158
24,19,9,4,"2",8,56,"19.57",39,208.033
25,19,5,8,"3",6,56,"38.45",19,208.031
26,19,15,3,"4",5,56,"45.832",53,207.715
27,19,1,9,"5",4,56,"46.548",53,209.033
28,19,2,5,"6",3,56,"49.833",55,209.244
29,19,17,6,"7",2,56,"+1:08.130",53,206.366
30,19,4,7,"8",1,56,"+1:10.041",40,207.24
31,19,14,12,"9",0,56,"+1:16.220",55,207.417
32,19,18,11,"10",0,56,"+1:26.214",56,208.481
33,19,12,13,"11",0,56,"+1:32.202",52,205.812
34,19,21,17,"12",0,55,"",52,205.8
35,19,22,14,"13",0,55,"",55,206.372
36,19,3,16,"14",0,55,"",55,206.182
37,19,19,21,"15",0,55,"",55,203.265
38,19,11,19,"16",0,54,"",53,202.578
39,19,6,22,"17",0,54,"",19,204.222
40,19,20,15,"R",0,39,"",37,205.995
41,19,13,1,"R",0,30,"",15,208.048
42,19,16,20,"R",0,5,"",3,198.891
43,19,10,10,"R",0,1,"",,
44,19,7,18,"R",0,0,"",,
45,20,13,2,"1",10,57,"31:07.0",38,208.153
46,20,8,4,"2",8,57,"3.339",35,207.911
47,20,9,1,"3",6,57,"4.998",55,207.765
48,20,2,6,"4",5,57,"8.409",48,208.231
49,20,5,5,"5",4,57,"26.789",49,209.062
50,20,15,7,"6",3,57,"41.314",45,206.819
51,20,17,11,"7",2,57,"45.473",51,206.597
52,20,3,8,"8",1,57,"55.889",57,207.109
53,20,10,13,"9",0,57,"+1:09.500",56,205.503
54,20,4,10,"10",0,57,"+1:17.181",35,204.668
55,20,22,12,"11",0,57,"+1:17.862",40,205.399
56,20,21,18,"12",0,56,"",56,204.963
57,20,1,3,"13",0,56,"",25,203.969
58,20,6,16,"14",0,56,"",30,204.155
59,20,7,15,"15",0,56,"",33,204.369
60,20,19,21,"16",0,56,"",45,204.389
61,20,11,22,"17",0,56,"",56,203.18
62,20,14,17,"18",0,56,"",43,204.331
63,20,16,20,"19",0,56,"",55,204.136
64,20,12,14,"R",0,40,"",31,204.808
65,20,18,9,"R",0,19,"",11,202.686
66,20,20,19,"R",0,0,"",,
67,21,8,1,"1",10,66,"38:19.1",46,205.191
68,21,13,3,"2",8,66,"3.228",45,204.863
69,21,1,5,"3",6,66,"4.187",20,204.323
70,21,9,4,"4",5,66,"5.694",20,204.102
71,21,17,7,"5",4,66,"35.938",19,202.969
72,21,18,13,"6",3,66,"53.01",66,203.489
73,21,6,12,"7",2,66,"58.244",48,200.576
